id,neighbourhood_group,cancellation_policy,room_type,construction_year,price_numeric,log_price,minimum_nights,number_of_reviews,availability_365,service_fee,reviews_per_month,GEOID_x,median_income,population,median_rent
1001254,Brooklyn,strict,Private room,2020,966,6.873163834212518,10,9,286,193,0.21,11218,78249,73280,1676
1002102,Manhattan,moderate,Entire home/apt,2007,142,4.955827057601261,30,45,228,28,0.38,10018,136360,8135,3287
1002403,Manhattan,flexible,Private room,2005,620,6.429719478039138,3,0,352,124,0.74,10027,57010,64728,1274
1002755,Brooklyn,moderate,Entire home/apt,2005,368,5.908082938168931,30,270,322,74,4.64,11238,100568,55102,2020
1003689,Manhattan,moderate,Entire home/apt,2009,204,5.318119993844216,10,9,289,41,0.1,10029,33801,74617,974
1004098,Manhattan,flexible,Entire home/apt,2013,577,6.3578422665081,3,74,365,115,0.59,10016,124647,52912,2760
1004650,Brooklyn,moderate,Private room,2015,71,4.2626798770413155,45,49,224,14,0.4,11216,77343,59567,1676
1005202,Brooklyn,moderate,Private room,2009,1060,6.966024187106113,45,49,219,212,0.4,11216,77343,59567,1676
1005754,Manhattan,strict,Private room,2005,1018,6.925595197110468,2,430,180,204,3.47,10019,101651,45521,2050
1006307,Manhattan,strict,Private room,2015,291,5.673323267171493,2,118,365,58,0.99,10025,99067,92162,1621
1006859,Manhattan,flexible,Entire home/apt,2004,319,5.765191102784844,1,160,1,64,1.33,10002,35607,74363,979
1007411,Manhattan,flexible,Entire home/apt,2008,606,6.406879986069314,5,53,163,121,0.43,10025,99067,92162,1621
1007964,Manhattan,strict,Private room,2008,714,6.570882962339584,2,188,258,143,1.5,10036,97720,28231,2184
1008516,Brooklyn,moderate,Private room,2010,580,6.363028103540465,4,167,47,116,1.34,11215,144330,69995,2332
1009068,Manhattan,flexible,Private room,2019,149,5.003946305945459,2,113,68,30,0.91,10025,99067,92162,1621
1009621,Manhattan,flexible,Entire home/apt,2018,578,6.359573868672378,90,27,100,125,0.22,10014,136154,29071,2464
1010173,Brooklyn,moderate,Entire home/apt,2009,778,6.656726524178391,2,148,197,125,1.2,11211,90871,104561,2040
1010725,Brooklyn,flexible,Entire home/apt,2006,656,6.486160788944089,2,198,96,125,1.72,11205,62952,47866,1632
1011277,Manhattan,moderate,Private room,2008,460,6.131226489483141,1,260,325,125,2.12,10011,136208,50228,2281
1011830,Brooklyn,moderate,Entire home/apt,2004,1095,6.9985096422506015,3,53,345,125,4.44,11213,48318,67382,1339
1012382,Manhattan,moderate,Entire home/apt,2013,281,5.638354669333745,7,0,347,56,0.74,10029,33801,74617,974
1013487,Brooklyn,moderate,Private room,2013,133,4.890349128221754,2,130,54,27,1.09,11217,122598,42461,2256
1014039,Brooklyn,moderate,Private room,2017,1050,6.956545443151569,1,39,9,210,0.37,11217,122598,42461,2256
1014591,Brooklyn,strict,Private room,2005,816,6.704414354964107,2,71,344,163,0.61,11217,122598,42461,2256
1015144,Brooklyn,strict,Entire home/apt,2006,1175,7.069023426578259,2,88,365,235,0.73,11216,77343,59567,1676
1015696,Brooklyn,moderate,Private room,2021,530,6.272877006546167,1,19,344,106,1.37,11218,78249,73280,1676
1016248,Manhattan,strict,Private room,2017,274,5.6131281063880705,4,0,96,55,0.74,10034,63556,41933,1395
1016800,Manhattan,moderate,Entire home/apt,2016,209,5.342334251964811,10,58,103,42,0.49,10019,101651,45521,2050
1017353,Manhattan,strict,Private room,2021,432,6.068425588244111,3,108,172,86,1.11,10034,63556,41933,1395
1017905,Manhattan,flexible,Entire home/apt,2010,666,6.501289670540389,14,29,56,133,0.24,10003,129981,54671,2437
1018457,Manhattan,flexible,Private room,2004,770,6.646390514847729,3,242,105,154,2.04,10031,55721,60280,1503
1019010,Manhattan,flexible,Private room,2007,512,6.238324625039508,2,88,169,102,1.42,10027,57010,64728,1274
1019562,Brooklyn,moderate,Private room,2007,858,6.754604099487962,4,197,365,172,1.65,11222,96435,36710,2129
1020114,Manhattan,strict,Private room,2021,545,6.300785794663244,3,273,365,109,2.37,10031,55721,60280,1503
1020667,Brooklyn,strict,Private room,2016,191,5.25227342804663,1,74,76,38,0.66,11216,77343,59567,1676
1021219,Brooklyn,moderate,Private room,2003,1111,7.01301578963963,4,168,365,222,1.41,11215,144330,69995,2332
1021771,Brooklyn,moderate,Private room,2004,203,5.313205979041787,60,0,294,41,0.74,11221,65548,85582,1587
1022323,Brooklyn,moderate,Entire home/apt,2005,1097,7.00033446027523,2,231,214,219,1.96,11237,57375,46772,1697
1022876,Brooklyn,strict,Private room,2011,1020,6.927557906278317,1,0,356,204,0.74,11226,60896,96332,1458
1023428,Manhattan,moderate,Shared room,2012,1010,6.917705609835305,1,214,110,202,1.81,10002,35607,74363,979
1023980,Manhattan,strict,Private room,2005,563,6.333279628139691,2,245,354,113,2.08,10009,68220,58267,1706
1024533,Brooklyn,flexible,Entire home/apt,2020,370,5.91350300563827,3,15,33,74,0.39,11215,144330,69995,2332
1025085,Brooklyn,strict,Private room,2008,687,6.532334292222349,7,25,365,137,0.23,11205,62952,47866,1632
1025637,Manhattan,strict,Private room,2017,856,6.752270376141742,4,81,86,171,0.69,10024,137126,60714,2536
1026190,Manhattan,flexible,Entire home/apt,2006,62,4.127134385045092,7,97,152,12,0.84,10027,57010,64728,1274
1026742,Brooklyn,strict,Entire home/apt,2007,435,6.075346031088684,3,11,353,87,0.49,11225,65200,56072,1488
1027294,Queens,flexible,Private room,2022,916,6.82001636467413,3,248,26,183,2.25,11101,89525,32537,1966
1027846,Brooklyn,moderate,Entire home/apt,2019,459,6.129050210060545,3,61,32,92,0.52,11238,100568,55102,2020
1028399,Brooklyn,moderate,Entire home/apt,2015,363,5.8944028342648505,3,11,85,73,0.1,11221,65548,85582,1587
1028951,Brooklyn,strict,Private room,2009,212,5.356586274672012,3,135,96,42,1.16,11205,62952,47866,1632
1029503,Brooklyn,moderate,Private room,2015,728,6.590301048196686,3,112,96,146,1.01,11216,77343,59567,1676
1030056,Manhattan,strict,Entire home/apt,2013,901,6.803505257608338,3,73,96,180,0.63,10024,137126,60714,2536
1030608,Brooklyn,flexible,Entire home/apt,2007,335,5.814130531825066,3,82,96,67,0.7,11206,43065,87599,1199
1031160,Brooklyn,moderate,Entire home/apt,2014,254,5.537334267018537,3,328,96,51,2.82,11222,96435,36710,2129
1031713,Manhattan,moderate,Entire home/apt,2017,903,6.805722553416985,3,19,96,181,0.22,10010,139188,34763,2502
1032265,Brooklyn,moderate,Entire home/apt,2012,439,6.0844994130751715,30,105,96,88,0.9,11211,90871,104561,2040
1032817,Manhattan,flexible,Private room,2009,1024,6.931471805599453,5,19,96,205,0.17,10002,35607,74363,979
1033369,Manhattan,strict,Private room,2006,658,6.489204931325317,2,289,96,132,2.49,10018,136360,8135,3287
1033922,Brooklyn,flexible,Private room,2020,543,6.297109319933935,4,138,96,109,1.19,11222,96435,36710,2129
